retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
VikkieThorman,ReddogOHIO,6470,66071,62454
nan_wiggins,WhiskeyMD247365,10103,79715,26945
IndianaVaughn,DonaldJTrumpJr,14031,57114,51975
KCamelotRising,politicalpoet23,44630,66080,13194
TheArtman14,_Dealnodealwww_,44557,69233,69755
GooseyGran,BlueTsunami20,2660,41164,49645
Phoenixwmn,lhumphries13,25354,57809,76800
running2fit,Rvogt1_cba,48940,76522,33750
ValkyrieTactic1,DonaldJTrumpJr,14032,3765,51975
ObamaTheFraud,EricTrump,10999,66261,53571
barbarapcoogan,RoydYure,2187,20633,26611
leelee24305982,morningmika,10188,84340,51301
MissingReagan,almostjingo,788,11913,8945
LaurelLeyva,DonaldJTrumpJr,14033,84485,51975
PammyC10,PoliticalShort,1913,60611,52492
payne59,DonaldJTrumpJr,14033,66947,51975
Barbara77250226,CharminUltra17,737,65152,60324
truthfully1055,TicksOpinion,3510,52214,78720
patriot_loves,DrRick32855962,299,51886,74625
teehee77571618,morningmika,68693,53916,79198
Lamia802,DonaldJTrumpJr,14034,60017,51975
Leland54111836,TheSheilaG2020,509,43230,68397
haybernie,EricTrump,11001,74284,53571
running2fit,Rvogt1_cba,44982,76525,37711
No_regrets739,SebGorka,242,67087,210
Globird3,DonaldJTrumpJr,14035,53051,51975
angela_dummett,morningmika,10191,72415,51301
colonelswife2,DonaldJTrumpJr,14036,71793,51975
Tom_2,MamaTraxia,1273,72624,42429
DougBookwriter2,Dina1trump,52932,11440,8163
shoreboy1961,morningmika,9889,36750,51606
DEHaller1,DanielNewman,6868,4579,42856
SinghIsSPKing,SinghIsSPKing,7170,40974,33804
yuusmo12,morningmika,9450,79600,52045
doyle_old,EliseStefanik,59255,50633,29674
running2fit,BULLYNOT2U,49161,76529,22891
EelBeth,morningmika,10196,83225,51301
spumoni011112,UkegalUkraine1,37347,84722,48263
fibolin,TylerHarner1,3587,25328,47099
AGazaneo,AlienoGentile,356,64587,55856
peepooh1,morningmika,9892,29801,51606
LoriSte29314406,SebGorka,3760,63632,83099
CatesDuane,DonaldJTrumpJr,14042,58610,51975
grapesOT,DanielNewman,6872,4818,42856
running2fit,SchroedingersC9,11521,76532,60935
TaraForTrump,Cocofritz,44892,65937,30704
MAGAALLTHEWAY,DonaldJTrumpJr,14043,81995,51975
edistocatmd,morningmika,10199,2701,51301
gkmrun26,EricTrump,11011,65156,53571
bsheffie19,surchris62,33,70975,5480
YohJudy,DonaldJTrumpJr,14044,76763,51975
Anon_Lobo,whiteoutgotu,36117,86286,21009
OkayKellyRenae,lisa_cable,13452,67585,79057
angiekennedy01,ImLookgBackAtU,559,72102,43540
WDOrkoskey,morningmika,9457,3479,52045
fibolin,STOPTHiS,9499,25333,52609
running2fit,sog_rob,24201,76536,27920
fuckcancer56,morningmika,9899,61875,51606
TurfNSurf22,morningmika,9899,59148,51606
RealtorBonDC,morningmika,10204,71395,51301
gshell1234,EliseStefanik,59264,10042,29674
MaryBethMegan1,LoveMyCymba,474,49056,68225
cornpone1952,eggmunkee,1353,42814,2905
iggypop810,morningmika,10205,56576,51301
BlindsaySmith,socalaura,3845,86232,40194
curtnel545,DanielNewman,6880,16390,42856
LivnWLupus,DonaldJTrumpJr,14050,64572,51975
DrDominator412,morningmika,10207,77523,51301
teb22696,AngieNC3,44875,53269,83172
running2fit,yppo6,15189,76541,77784
theleeshow,morningmika,10207,34806,51301
leentje63033820,Paul_VanDerMeer,3308,85201,20754
Bahama30,EricTrump,11018,18060,53571
jackitboxs,DonaldJTrumpJr,14051,16612,51975
gerardjamesjoh1,morningmika,10207,56213,51301
TammyBa96627143,DonaldJTrumpJr,14052,5939,51975
TheArtman14,Liz_Wheeler,49056,69254,22683
Solnsky,morningmika,10208,13807,51301
DesigntoLearn,DanielNewman,6883,64809,42856
TurfNSurf22,WhiskeyMD247365,9722,59153,27349
JHS21,SebGorka,261,52360,210
VioletDaCatdan1,SethAbramson,56838,77783,27138
running2fit,SandiRyan115,10278,76545,81300
rick_ulmer,jtmatt65,70530,4463,84346
Wblscott1,SaltyDog_58,10391,77729,79920
AlwaysTexasProu,DonaldJTrumpJr,14056,5805,51975
DisgustsT,1AllHearingEar,11770,54687,58720
mgalvin1954,EricTrump,11024,72206,53571
running2fit,SandiRyan115,10233,76547,81347
patsdunc,ZemanLynnZ,4361,46926,44233
RobsTinFoilHat,morningmika,9909,1474,51606
everard_ellen,cvpayne,50999,59442,32849
running2fit,Ramfam6,8208,76550,1845
swimmingmohit,morningmika,64308,37963,83609
fibolin,NancyHarma,9840,25349,49200
CDRCHOP,DonaldJTrumpJr,14061,57854,51975
SalonEuro,SebGorka,268,41867,210
StogieMcGruff,morningmika,9473,69679,52045
tina_martens,morningmika,68722,10997,79198
DustyRhoads17,Liz_Wheeler,49067,45881,22683
StegallNan,saralynne65,1262,81122,48111
Yennifs,morningmika,10219,55281,51301
Askbluerose,EricTrump,11031,36754,53571
OkayKellyRenae,1AllHearingEar,11911,67605,58587
JaneGre20511990,morningmika,10221,65528,51301
UPROAR23,DanielNewman,6896,61350,42856
